text,label
Awful experience,1
Thank you so much,0
You should be ashamed,1
You did a great job,0
You make me angry,1
I love you,0
Terrible service,1
Best thing ever,0
I despise you,1
Excellent performance,0
You should be ashamed,1
Have a nice day,0
Such a dirty person,1
Thank you so much,0
You are useless,1
You are very kind,0
I despise you,1
I admire you,0
I will kill you,1
You are very kind,0
Awful experience,1
Best thing ever,0
I hate you,1
This product is awesome,0
Such a dirty person,1
You did a great job,0
Go and die,1
Excellent performance,0
Such a dirty person,1
You are polite,0
Worst thing ever,1
What a beautiful place,0
I hate you,1
I appreciate your help,0
You make me angry,1
I appreciate your help,0
Go and die,1
Excellent performance,0
I despise you,1
I appreciate your help,0
Terrible service,1
Thank you so much,0
You should be ashamed,1
I appreciate your help,0
Awful experience,1
I appreciate your help,0
You are stupid,1
I admire you,0
Go and die,1
You did a great job,0
Awful experience,1
You are very kind,0
You are useless,1
You did a great job,0
I despise you,1
Have a nice day,0
I hate you,1
Excellent performance,0
You are stupid,1
I love you,0
You are an idiot,1
This is wonderful,0
You are horrible,1
You did a great job,0
You make me angry,1
You are very kind,0
Worst thing ever,1
I love you,0
You are dumb,1
You are very kind,0
You should be ashamed,1
You are polite,0
You make me angry,1
Excellent performance,0
Worst thing ever,1
I respect your opinion,0
Terrible service,1
You are polite,0
You are horrible,1
What a beautiful place,0
Terrible service,1
This is wonderful,0
Go and die,1
What a beautiful place,0
You are useless,1
You are polite,0
I despise you,1
This is wonderful,0
You are stupid,1
I appreciate your help,0
You are an idiot,1
You are polite,0
I hate you,1
I admire you,0
Awful experience,1
You are amazing,0
You make me angry,1
What a beautiful place,0
I despise you,1
Excellent performance,0
Worthless,1
loser,1
Your behavior is awful and I really hate everything about you,1
